sample_id	fc	udb
D19508	E250080627	UDB-385
D19508	E250080627	UDB-386
D19512	E250080627	UDB-387
D19512	E250080627	UDB-388
D19516	E250080627	UDB-389
D19516	E250080627	UDB-390
D19517	E250080627	UDB-391
D19517	E250080627	UDB-392
D19518	E250080627	UDB-393
D19518	E250080627	UDB-394
D19519	E250080627	UDB-395
D19519	E250080627	UDB-396
D19520	E250081420	UDB-397
D19520	E250081420	UDB-398
D19521	E250081420	UDB-399
D19521	E250081420	UDB-400
D19522	E250081420	UDB-401
D19522	E250081420	UDB-402
D19523	E250081420	UDB-403
D19523	E250081420	UDB-404
D19524	E250081420	UDB-405
D19524	E250081420	UDB-406
D19525	E250081420	UDB-407
D19525	E250081420	UDB-408
D19679	E250084568	UDB-505
D19680	E250084568	UDB-506
D19681	E250084568	UDB-507
D19682	E250084568	UDB-508
D19683	E250084568	UDB-509
D19684	E250084568	UDB-510
D19679	E250084568	UDB-511
D19680	E250084568	UDB-512
D19681	E250084568	UDB-513
D19682	E250084568	UDB-514
D19683	E250084568	UDB-515
D19684	E250084568	UDB-516
D19653	E250084575	UDB-441
D19654	E250084575	UDB-442
D19655	E250084575	UDB-443
D19656	E250084575	UDB-444
D19657	E250084575	UDB-445
D19658	E250084575	UDB-446
D19653	E250084575	UDB-447
D19654	E250084575	UDB-448
D19655	E250084575	UDB-449
D19656	E250084575	UDB-450
D19657	E250084575	UDB-451
D19658	E250084575	UDB-452
D19672	E250084583	UDB-493
D19673	E250084583	UDB-494
D19674	E250084583	UDB-495
D19675	E250084583	UDB-496
D19676	E250084583	UDB-497
D19677	E250084583	UDB-498
D19672	E250084583	UDB-499
D19673	E250084583	UDB-500
D19674	E250084583	UDB-501
D19675	E250084583	UDB-502
D19676	E250084583	UDB-503
D19677	E250084583	UDB-504
D19605	E250084584	UDB-425
D19606	E250084584	UDB-426
D19607	E250084584	UDB-427
D19608	E250084584	UDB-428
D19609	E250084584	UDB-429
D19610	E250084584	UDB-430
D19605	E250084584	UDB-431
D19606	E250084584	UDB-432
D19607	E250084584	UDB-433
D19608	E250084584	UDB-434
D19609	E250084584	UDB-435
D19610	E250084584	UDB-436
D19554	E250084604	UDB-457
D19554	E250084604	UDB-458
D19555	E250084604	UDB-459
D19555	E250084604	UDB-460
D19556	E250084604	UDB-461
D19556	E250084604	UDB-462
D19557	E250084604	UDB-463
D19557	E250084604	UDB-464
D19558	E250084604	UDB-465
D19558	E250084604	UDB-466
D19559	E250084604	UDB-467
D19559	E250084604	UDB-468
D19573	E250084620	UDB-405
D19575	E250084620	UDB-406
D19576	E250084620	UDB-407
D19577	E250084620	UDB-408
D19578	E250084620	UDB-409
D19579	E250084620	UDB-410
D19573	E250084620	UDB-411
D19575	E250084620	UDB-412
D19576	E250084620	UDB-413
D19577	E250084620	UDB-414
D19578	E250084620	UDB-415
D19579	E250084620	UDB-416
D19542	E250084624	UDB-445
D19543	E250084624	UDB-446
D19544	E250084624	UDB-447
D19545	E250084624	UDB-448
D19546	E250084624	UDB-449
D19547	E250084624	UDB-450
D19548	E250084624	UDB-451
D19549	E250084624	UDB-452
D19550	E250084624	UDB-453
D19551	E250084624	UDB-454
D19552	E250084624	UDB-455
D19553	E250084624	UDB-456
D19666	E250084627	UDB-481
D19667	E250084627	UDB-482
D19668	E250084627	UDB-483
D19669	E250084627	UDB-484
D19670	E250084627	UDB-485
D19671	E250084627	UDB-486
D19666	E250084627	UDB-487
D19667	E250084627	UDB-488
D19668	E250084627	UDB-489
D19669	E250084627	UDB-490
D19670	E250084627	UDB-491
D19671	E250084627	UDB-492
D19623	E250084643	UDB-461
D19624	E250084643	UDB-462
D19625	E250084643	UDB-463
D19626	E250084643	UDB-464
D19627	E250084643	UDB-465
D19628	E250084643	UDB-466
D19623	E250084643	UDB-467
D19624	E250084643	UDB-468
D19625	E250084643	UDB-469
D19626	E250084643	UDB-470
D19627	E250084643	UDB-471
D19628	E250084643	UDB-472
D19631	E250084645	UDB-401
D19632	E250084645	UDB-402
D19633	E250084645	UDB-403
D19634	E250084645	UDB-404
D19629	E250084645	UDB-473
D19630	E250084645	UDB-474
D19631	E250084645	UDB-475
D19632	E250084645	UDB-476
D19633	E250084645	UDB-477
D19634	E250084645	UDB-478
D19629	E250084645	UDB-479
D19630	E250084645	UDB-480
D19712	E250084656	UDB-565
D19713	E250084656	UDB-566
D19714	E250084656	UDB-567
D19715	E250084656	UDB-568
D19716	E250084656	UDB-569
D19717	E250084656	UDB-570
D19712	E250084656	UDB-571
D19713	E250084656	UDB-572
D19714	E250084656	UDB-573
D19715	E250084656	UDB-574
D19716	E250084656	UDB-575
D19717	E250084656	UDB-576
D19641	E250084662	UDB-417
D19642	E250084662	UDB-418
D19643	E250084662	UDB-419
D19644	E250084662	UDB-420
D19645	E250084662	UDB-421
D19646	E250084662	UDB-422
D19641	E250084662	UDB-423
D19642	E250084662	UDB-424
D19643	E250084662	UDB-425
D19644	E250084662	UDB-426
D19645	E250084662	UDB-427
D19646	E250084662	UDB-428
D19526	E250084668	UDB-409
D19526	E250084668	UDB-410
D19527	E250084668	UDB-411
D19527	E250084668	UDB-412
D19529	E250084668	UDB-413
D19529	E250084668	UDB-414
D19530	E250084668	UDB-415
D19530	E250084668	UDB-416
D19533	E250084668	UDB-417
D19533	E250084668	UDB-418
D19535	E250084668	UDB-419
D19535	E250084668	UDB-420
D19659	E250084670	UDB-453
D19660	E250084670	UDB-454
D19662	E250084670	UDB-455
D19663	E250084670	UDB-456
D19664	E250084670	UDB-457
D19665	E250084670	UDB-458
D19659	E250084670	UDB-459
D19660	E250084670	UDB-460
D19662	E250084670	UDB-461
D19663	E250084670	UDB-462
D19664	E250084670	UDB-463
D19665	E250084670	UDB-464
D19560	E250084672	UDB-469
D19560	E250084672	UDB-470
D19561	E250084672	UDB-471
D19561	E250084672	UDB-472
D19562	E250084672	UDB-473
D19562	E250084672	UDB-474
D19563	E250084672	UDB-475
D19563	E250084672	UDB-476
D19564	E250084672	UDB-477
D19564	E250084672	UDB-478
D19565	E250084672	UDB-479
D19565	E250084672	UDB-480
D19724	E250084677	UDB-487
D19773	E250084677	UDB-488
D19724	E250084677	UDB-495
D19773	E250084677	UDB-496
D19508	E250084677	UDB-497
D19512	E250084677	UDB-498
D19522	E250084677	UDB-499
D19560	E250084677	UDB-500
D19561	E250084677	UDB-501
D19563	E250084677	UDB-502
D19508	E250084677	UDB-503
D19512	E250084677	UDB-504
D19522	E250084677	UDB-505
D19560	E250084677	UDB-506
D19561	E250084677	UDB-507
D19563	E250084677	UDB-508
D19564	E250084677	UDB-509
D19565	E250084677	UDB-510
D19568	E250084677	UDB-511
